run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	study_alias	experiment_alias	run_alias	fastq_ftp	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19064319	SAMN28062215	SRX15135796	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP469	DP469_UAB832_S67_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064319/SRR19064319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064319/SRR19064319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/019/SRR19064319	DP469		
SRR19064324	SAMN28062212	SRX15135792	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP464	DP464_UAB832_S64_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064324/SRR19064324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064324/SRR19064324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/024/SRR19064324	DP464		
SRR19064325	SAMN28062211	SRX15135791	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP463	DP463_UAB832_S63_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064325/SRR19064325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064325/SRR19064325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/025/SRR19064325	DP463		
SRR19064335	SAMN28062146	SRX15135781	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP379	DP379_UAB832_S71_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064335/SRR19064335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064335/SRR19064335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/035/SRR19064335	DP379		
SRR19064339	SAMN28062143	SRX15135777	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP375	DP375_UAB832_S58_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064339/SRR19064339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064339/SRR19064339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/039/SRR19064339	DP375		
SRR19064346	SAMN28062136	SRX15135770	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP362	DP362_UAB832_S51_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/046/SRR19064346/SRR19064346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/046/SRR19064346/SRR19064346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/046/SRR19064346	DP362		
SRR19064348	SAMN28062059	SRX15135768	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP264	DP264_S260_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064348/SRR19064348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064348/SRR19064348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/048/SRR19064348	DP264		
SRR19064349	SAMN28062058	SRX15135767	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP263	DP263_S259_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064349/SRR19064349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064349/SRR19064349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/049/SRR19064349	DP263		
SRR19064351	SAMN28062060	SRX15135769	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP265	DP265_S261_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/051/SRR19064351/SRR19064351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/051/SRR19064351/SRR19064351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/051/SRR19064351	DP265		
SRR19064355	SAMN28061667	SRX15135762	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC061	DC061_S236_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064355/SRR19064355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064355/SRR19064355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/055/SRR19064355	DC061		
