alias,project_id,sample_id
DC001,PRJNA834801,SAMN28061624
DC003,PRJNA834801,SAMN28061625
DC004,PRJNA834801,SAMN28061626
DC005,PRJNA834801,SAMN28061627
DC006,PRJNA834801,SAMN28061628
DC007,PRJNA834801,SAMN28061629
DC009,PRJNA834801,SAMN28061630
DC010,PRJNA834801,SAMN28061631
DC011,PRJNA834801,SAMN28061632
DC013,PRJNA834801,SAMN28061633
DC015,PRJNA834801,SAMN28061634
DC016,PRJNA834801,SAMN28061635
DC017,PRJNA834801,SAMN28061636
DC018,PRJNA834801,SAMN28061637
DC019,PRJNA834801,SAMN28061638
DC020,PRJNA834801,SAMN28061639
DC021,PRJNA834801,SAMN28061640
DC022,PRJNA834801,SAMN28061641
DC023,PRJNA834801,SAMN28061642
DC024,PRJNA834801,SAMN28061643
DC026,PRJNA834801,SAMN28061644
DC027,PRJNA834801,SAMN28061645
DC029,PRJNA834801,SAMN28061646
DC032,PRJNA834801,SAMN28061647
DC033,PRJNA834801,SAMN28061648
DC034,PRJNA834801,SAMN28061649
DC035,PRJNA834801,SAMN28061650
DC036,PRJNA834801,SAMN28061651
DC037,PRJNA834801,SAMN28061652
DC038,PRJNA834801,SAMN28061653
DC039,PRJNA834801,SAMN28061654
DC041,PRJNA834801,SAMN28061655
DC042,PRJNA834801,SAMN28061656
DC044,PRJNA834801,SAMN28061657
DC048,PRJNA834801,SAMN28061658
DC049,PRJNA834801,SAMN28061659
DC050,PRJNA834801,SAMN28061660
DC052,PRJNA834801,SAMN28061661
DC054,PRJNA834801,SAMN28061662
DC056,PRJNA834801,SAMN28061663
DC057,PRJNA834801,SAMN28061664
DC058,PRJNA834801,SAMN28061665
DC060,PRJNA834801,SAMN28061666
DC061,PRJNA834801,SAMN28061667
DC063,PRJNA834801,SAMN28061668
DC064,PRJNA834801,SAMN28061669
DC065,PRJNA834801,SAMN28061670
DC066,PRJNA834801,SAMN28061671
DC067,PRJNA834801,SAMN28061672
DC068,PRJNA834801,SAMN28061673
DC069,PRJNA834801,SAMN28061674
DC070,PRJNA834801,SAMN28061675
DC071,PRJNA834801,SAMN28061676
DC072,PRJNA834801,SAMN28061677
DC073,PRJNA834801,SAMN28061678
DC075,PRJNA834801,SAMN28061679
DC076,PRJNA834801,SAMN28061680
DC077,PRJNA834801,SAMN28061681
DC078,PRJNA834801,SAMN28061682
DC079,PRJNA834801,SAMN28061683
DC081,PRJNA834801,SAMN28061684
DC082,PRJNA834801,SAMN28061685
DC083,PRJNA834801,SAMN28061686
DC085,PRJNA834801,SAMN28061687
DC087,PRJNA834801,SAMN28061688
DC090,PRJNA834801,SAMN28061689
DC092,PRJNA834801,SAMN28061690
DC094,PRJNA834801,SAMN28061691
DC095,PRJNA834801,SAMN28061692
DC096,PRJNA834801,SAMN28061693
DC097,PRJNA834801,SAMN28061694
DC098,PRJNA834801,SAMN28061695
DC099,PRJNA834801,SAMN28061696
DC100,PRJNA834801,SAMN28061697
DC101,PRJNA834801,SAMN28061698
DC102,PRJNA834801,SAMN28061699
DC103,PRJNA834801,SAMN28061700
DC104,PRJNA834801,SAMN28061701
DC105,PRJNA834801,SAMN28061702
DC106,PRJNA834801,SAMN28061703
DC107,PRJNA834801,SAMN28061704
DC108,PRJNA834801,SAMN28061705
DC109,PRJNA834801,SAMN28061706
DC110,PRJNA834801,SAMN28061707
DC111,PRJNA834801,SAMN28061708
DC112,PRJNA834801,SAMN28061709
DC113,PRJNA834801,SAMN28061710
DC114,PRJNA834801,SAMN28061711
DC115,PRJNA834801,SAMN28061712
DC117,PRJNA834801,SAMN28061713
DC118,PRJNA834801,SAMN28061714
DC119,PRJNA834801,SAMN28061715
DC120,PRJNA834801,SAMN28061716
DC121,PRJNA834801,SAMN28061717
DC123,PRJNA834801,SAMN28061718
DC125,PRJNA834801,SAMN28061719
DC126,PRJNA834801,SAMN28061720
DC127,PRJNA834801,SAMN28061721
DC128,PRJNA834801,SAMN28061722
DC131,PRJNA834801,SAMN28061723
DC135,PRJNA834801,SAMN28061724
DC136,PRJNA834801,SAMN28061725
DC137,PRJNA834801,SAMN28061726
DC138,PRJNA834801,SAMN28061727
DC139,PRJNA834801,SAMN28061728
DC140,PRJNA834801,SAMN28061729
DC141,PRJNA834801,SAMN28061730
DC145,PRJNA834801,SAMN28061731
DC147,PRJNA834801,SAMN28061732
DC148,PRJNA834801,SAMN28061733
DC149,PRJNA834801,SAMN28061734
DC150,PRJNA834801,SAMN28061735
DC151,PRJNA834801,SAMN28061736
DC152,PRJNA834801,SAMN28061737
DC153,PRJNA834801,SAMN28061738
DC154,PRJNA834801,SAMN28061739
DC155,PRJNA834801,SAMN28061740
DC156,PRJNA834801,SAMN28061741
DC158,PRJNA834801,SAMN28061742
DC159,PRJNA834801,SAMN28061743
DC160,PRJNA834801,SAMN28061744
DC161,PRJNA834801,SAMN28061745
DC162,PRJNA834801,SAMN28061746
DC163,PRJNA834801,SAMN28061747
DC164,PRJNA834801,SAMN28061748
DC165,PRJNA834801,SAMN28061749
DC167,PRJNA834801,SAMN28061750
DC168,PRJNA834801,SAMN28061751
DC169,PRJNA834801,SAMN28061752
DC170,PRJNA834801,SAMN28061753
DC171,PRJNA834801,SAMN28061754
DC172,PRJNA834801,SAMN28061755
DC173,PRJNA834801,SAMN28061756
DC174,PRJNA834801,SAMN28061757
DC175,PRJNA834801,SAMN28061758
DC176,PRJNA834801,SAMN28061759
DC177,PRJNA834801,SAMN28061760
