alias,project_id,sample_id
DP001,PRJNA834801,SAMN28061858
DP002,PRJNA834801,SAMN28061859
DP003,PRJNA834801,SAMN28061860
DP004,PRJNA834801,SAMN28061861
DP005,PRJNA834801,SAMN28061862
DP006,PRJNA834801,SAMN28061863
DP007,PRJNA834801,SAMN28061864
DP008,PRJNA834801,SAMN28061865
DP009,PRJNA834801,SAMN28061866
DP011,PRJNA834801,SAMN28061867
DP012,PRJNA834801,SAMN28061868
DP013,PRJNA834801,SAMN28061869
DP014,PRJNA834801,SAMN28061870
DP017,PRJNA834801,SAMN28061871
DP018,PRJNA834801,SAMN28061872
DP019,PRJNA834801,SAMN28061873
DP020,PRJNA834801,SAMN28061874
DP021,PRJNA834801,SAMN28061875
DP022,PRJNA834801,SAMN28061876
DP024,PRJNA834801,SAMN28061877
DP025,PRJNA834801,SAMN28061878
DP026,PRJNA834801,SAMN28061879
DP027,PRJNA834801,SAMN28061880
DP028,PRJNA834801,SAMN28061881
DP029,PRJNA834801,SAMN28061882
DP030,PRJNA834801,SAMN28061883
DP031,PRJNA834801,SAMN28061884
DP032,PRJNA834801,SAMN28061885
DP035,PRJNA834801,SAMN28061886
DP037,PRJNA834801,SAMN28061887
DP038,PRJNA834801,SAMN28061888
DP039,PRJNA834801,SAMN28061889
DP040,PRJNA834801,SAMN28061890
DP041,PRJNA834801,SAMN28061891
DP042,PRJNA834801,SAMN28061892
DP043,PRJNA834801,SAMN28061893
DP045,PRJNA834801,SAMN28061894
DP046,PRJNA834801,SAMN28061895
DP047,PRJNA834801,SAMN28061896
DP048,PRJNA834801,SAMN28061897
DP049,PRJNA834801,SAMN28061898
DP050,PRJNA834801,SAMN28061899
DP052,PRJNA834801,SAMN28061900
DP053,PRJNA834801,SAMN28061901
DP054,PRJNA834801,SAMN28061902
DP055,PRJNA834801,SAMN28061903
DP057,PRJNA834801,SAMN28061904
DP058,PRJNA834801,SAMN28061905
DP060,PRJNA834801,SAMN28061906
DP061,PRJNA834801,SAMN28061907
DP063,PRJNA834801,SAMN28061908
DP064,PRJNA834801,SAMN28061909
DP065,PRJNA834801,SAMN28061910
DP066,PRJNA834801,SAMN28061911
DP067,PRJNA834801,SAMN28061912
DP068,PRJNA834801,SAMN28061913
DP069,PRJNA834801,SAMN28061914
DP070,PRJNA834801,SAMN28061915
DP071,PRJNA834801,SAMN28061916
DP072,PRJNA834801,SAMN28061917
DP073,PRJNA834801,SAMN28061918
DP074,PRJNA834801,SAMN28061919
DP075,PRJNA834801,SAMN28061920
DP077,PRJNA834801,SAMN28061921
DP078,PRJNA834801,SAMN28061922
DP079,PRJNA834801,SAMN28061923
DP080,PRJNA834801,SAMN28061924
DP081,PRJNA834801,SAMN28061925
DP082,PRJNA834801,SAMN28061926
DP083,PRJNA834801,SAMN28061927
DP084,PRJNA834801,SAMN28061928
DP086,PRJNA834801,SAMN28061929
DP087,PRJNA834801,SAMN28061930
DP088,PRJNA834801,SAMN28061931
DP090,PRJNA834801,SAMN28061932
DP091,PRJNA834801,SAMN28061933
DP092,PRJNA834801,SAMN28061934
DP094,PRJNA834801,SAMN28061935
DP095,PRJNA834801,SAMN28061936
DP096,PRJNA834801,SAMN28061937
DP098,PRJNA834801,SAMN28061938
DP100,PRJNA834801,SAMN28061939
DP101,PRJNA834801,SAMN28061940
DP103,PRJNA834801,SAMN28061941
DP104,PRJNA834801,SAMN28061942
DP107,PRJNA834801,SAMN28061943
DP108,PRJNA834801,SAMN28061944
DP109,PRJNA834801,SAMN28061945
DP110,PRJNA834801,SAMN28061946
DP111,PRJNA834801,SAMN28061947
DP112,PRJNA834801,SAMN28061948
DP114,PRJNA834801,SAMN28061949
DP115,PRJNA834801,SAMN28061950
DP116,PRJNA834801,SAMN28061951
DP117,PRJNA834801,SAMN28061952
DP119,PRJNA834801,SAMN28061953
DP120,PRJNA834801,SAMN28061954
DP121,PRJNA834801,SAMN28061955
DP122,PRJNA834801,SAMN28061956
DP123,PRJNA834801,SAMN28061957
DP124,PRJNA834801,SAMN28061958
DP127,PRJNA834801,SAMN28061959
DP130,PRJNA834801,SAMN28061960
DP131,PRJNA834801,SAMN28061961
DP132,PRJNA834801,SAMN28061962
DP135,PRJNA834801,SAMN28061963
DP136,PRJNA834801,SAMN28061964
