alias,project_id,sample_id
DC-02,PRJEB17784,SAMEA103958148
DC-14,PRJEB17784,SAMEA103958161
DC-06,PRJEB17784,SAMEA103958150
DC-15,PRJEB17784,SAMEA103958162
DC-04,PRJEB17784,SAMEA103958151
DC-07,PRJEB17784,SAMEA103958144
DC-09,PRJEB17784,SAMEA103958147
DC-08,PRJEB17784,SAMEA103958152
DC-05,PRJEB17784,SAMEA103958146
DC-13,PRJEB17784,SAMEA103958160
DC-03,PRJEB17784,SAMEA103958153
DC-12,PRJEB17784,SAMEA103958159
DC-01,PRJEB17784,SAMEA103958149
DC-10,PRJEB17784,SAMEA103958145
DC-11,PRJEB17784,SAMEA103958158
SP1112,PRJNA834801,SAMN28062346
SP1114,PRJNA834801,SAMN28062348
SP1113,PRJNA834801,SAMN28062347
SC0558,PRJNA834801,SAMN28061857
SC0637,PRJNA834801,SAMN28061856
