alias,project_id,sample_id
DC-02,PRJEB17784,SAMEA103958148
DC-14,PRJEB17784,SAMEA103958161
DC-06,PRJEB17784,SAMEA103958150
DC-15,PRJEB17784,SAMEA103958162
DC-04,PRJEB17784,SAMEA103958151
DC-07,PRJEB17784,SAMEA103958144
DC-09,PRJEB17784,SAMEA103958147
DC-08,PRJEB17784,SAMEA103958152
DC-05,PRJEB17784,SAMEA103958146
DC-13,PRJEB17784,SAMEA103958160
DC-03,PRJEB17784,SAMEA103958153
DC-12,PRJEB17784,SAMEA103958159
DC-01,PRJEB17784,SAMEA103958149
DC-10,PRJEB17784,SAMEA103958145
DC-11,PRJEB17784,SAMEA103958158
DP469,PRJNA834801,SAMN28062215
DP464,PRJNA834801,SAMN28062212
DP463,PRJNA834801,SAMN28062211
DP379,PRJNA834801,SAMN28062146
DP375,PRJNA834801,SAMN28062143
DP362,PRJNA834801,SAMN28062136
DP264,PRJNA834801,SAMN28062059
DP263,PRJNA834801,SAMN28062058
DP265,PRJNA834801,SAMN28062060
DC061,PRJNA834801,SAMN28061667
DP255,PRJNA834801,SAMN28062052
DP254,PRJNA834801,SAMN28062051
DP252,PRJNA834801,SAMN28062049
DP246,PRJNA834801,SAMN28062046
DP243,PRJNA834801,SAMN28062043
DP241,PRJNA834801,SAMN28062042
DP240,PRJNA834801,SAMN28062041
DC156,PRJNA834801,SAMN28061741
DC152,PRJNA834801,SAMN28061737
DC148,PRJNA834801,SAMN28061733
DC150,PRJNA834801,SAMN28061735
DC141,PRJNA834801,SAMN28061730
DC138,PRJNA834801,SAMN28061727
DC136,PRJNA834801,SAMN28061725
DC135,PRJNA834801,SAMN28061724
DC015,PRJNA834801,SAMN28061634
DP108,PRJNA834801,SAMN28061944
DP104,PRJNA834801,SAMN28061942
DP100,PRJNA834801,SAMN28061939
DP098,PRJNA834801,SAMN28061938
DP096,PRJNA834801,SAMN28061937
DP094,PRJNA834801,SAMN28061935
DP090,PRJNA834801,SAMN28061932
DP088,PRJNA834801,SAMN28061931
DP082,PRJNA834801,SAMN28061926
DP061,PRJNA834801,SAMN28061907
DP060,PRJNA834801,SAMN28061906
DP057,PRJNA834801,SAMN28061904
DP055,PRJNA834801,SAMN28061903
DP049,PRJNA834801,SAMN28061898
DP047,PRJNA834801,SAMN28061896
DP041,PRJNA834801,SAMN28061891
DC201,PRJNA834801,SAMN28061777
DC195,PRJNA834801,SAMN28061772
DC194,PRJNA834801,SAMN28061771
DC183,PRJNA834801,SAMN28061764
DC179,PRJNA834801,SAMN28061762
DC003,PRJNA834801,SAMN28061625
DP607,PRJNA834801,SAMN28062318
DP605,PRJNA834801,SAMN28062316
DC096,PRJNA834801,SAMN28061693
DP598,PRJNA834801,SAMN28062310
DP597,PRJNA834801,SAMN28062309
DP589,PRJNA834801,SAMN28062302
DP535,PRJNA834801,SAMN28062263
DP532,PRJNA834801,SAMN28062261
DP530,PRJNA834801,SAMN28062260
DP524,PRJNA834801,SAMN28062255
DP523,PRJNA834801,SAMN28062254
DP511,PRJNA834801,SAMN28062247
DP508,PRJNA834801,SAMN28062245
DP434,PRJNA834801,SAMN28062187
DP432,PRJNA834801,SAMN28062186
DP431,PRJNA834801,SAMN28062185
DP436,PRJNA834801,SAMN28062188
DP428,PRJNA834801,SAMN28062183
DP423,PRJNA834801,SAMN28062180
DP419,PRJNA834801,SAMN28062177
DP418,PRJNA834801,SAMN28062176
DP416,PRJNA834801,SAMN28062175
DP415,PRJNA834801,SAMN28062174
DC075,PRJNA834801,SAMN28061679
DP335,PRJNA834801,SAMN28062113
DP333,PRJNA834801,SAMN28062111
DP331,PRJNA834801,SAMN28062109
DP327,PRJNA834801,SAMN28062107
DP326,PRJNA834801,SAMN28062106
