run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
ERR9452445	SAMEA13818280	ERX8994312	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/005/ERR9452445/ERR9452445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/005/ERR9452445/ERR9452445_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/005/ERR9452445.bam
ERR9452446	SAMEA13818281	ERX8994313	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452446/ERR9452446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452446/ERR9452446_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/006/ERR9452446.bam
ERR9452449	SAMEA13818284	ERX8994316	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/009/ERR9452449/ERR9452449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/009/ERR9452449/ERR9452449_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/009/ERR9452449.bam
ERR9452452	SAMEA13818287	ERX8994319	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/002/ERR9452452/ERR9452452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/002/ERR9452452/ERR9452452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/002/ERR9452452.bam
ERR9452453	SAMEA13818288	ERX8994320	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/003/ERR9452453/ERR9452453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/003/ERR9452453/ERR9452453_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/003/ERR9452453.bam
ERR9452461	SAMEA13818296	ERX8994328	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/001/ERR9452461/ERR9452461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/001/ERR9452461/ERR9452461_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/001/ERR9452461.bam
ERR9452463	SAMEA13818298	ERX8994330	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/003/ERR9452463/ERR9452463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/003/ERR9452463/ERR9452463_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/003/ERR9452463.bam
ERR9452466	SAMEA13818301	ERX8994333	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452466/ERR9452466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452466/ERR9452466_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/006/ERR9452466.bam
ERR9452476	SAMEA13818311	ERX8994343	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452476/ERR9452476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/006/ERR9452476/ERR9452476_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/006/ERR9452476.bam
ERR9452480	SAMEA13818315	ERX8994347	PRJEB51982	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/000/ERR9452480/ERR9452480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR945/000/ERR9452480/ERR9452480_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR945/000/ERR9452480.bam
