run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR14711413	SAMN19513448	SRX11049514	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/013/SRR14711413	
SRR14711417	SAMN19513552	SRX11049510	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/017/SRR14711417/SRR14711417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/017/SRR14711417/SRR14711417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/017/SRR14711417	
SRR14711418	SAMN19513551	SRX11049509	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/018/SRR14711418/SRR14711418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/018/SRR14711418/SRR14711418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/018/SRR14711418	
SRR14711420	SAMN19513549	SRX11049507	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/020/SRR14711420/SRR14711420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/020/SRR14711420/SRR14711420_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/020/SRR14711420	
SRR14711421	SAMN19513548	SRX11049506	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/021/SRR14711421/SRR14711421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/021/SRR14711421/SRR14711421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/021/SRR14711421	
SRR14711422	SAMN19513547	SRX11049505	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/022/SRR14711422/SRR14711422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/022/SRR14711422/SRR14711422_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/022/SRR14711422	
SRR14711423	SAMN19513546	SRX11049504	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/023/SRR14711423/SRR14711423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/023/SRR14711423/SRR14711423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/023/SRR14711423	
SRR14711432	SAMN19513538	SRX11049495	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/032/SRR14711432/SRR14711432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/032/SRR14711432/SRR14711432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/032/SRR14711432	
SRR14711434	SAMN19513536	SRX11049493	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/034/SRR14711434/SRR14711434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/034/SRR14711434/SRR14711434_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/034/SRR14711434	
SRR14711440	SAMN19513533	SRX11049487	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/040/SRR14711440/SRR14711440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/040/SRR14711440/SRR14711440_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/040/SRR14711440	
SRR14711445	SAMN19513528	SRX11049482	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/045/SRR14711445/SRR14711445.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/045/SRR14711445/SRR14711445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/045/SRR14711445/SRR14711445_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/045/SRR14711445	
SRR14711446	SAMN19513527	SRX11049481	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/046/SRR14711446/SRR14711446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/046/SRR14711446/SRR14711446_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/046/SRR14711446	
SRR14711449	SAMN19513525	SRX11049478	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/049/SRR14711449/SRR14711449.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/049/SRR14711449/SRR14711449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/049/SRR14711449/SRR14711449_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/049/SRR14711449	
SRR14711450	SAMN19513524	SRX11049477	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/050/SRR14711450/SRR14711450.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/050/SRR14711450/SRR14711450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/050/SRR14711450/SRR14711450_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/050/SRR14711450	
SRR14711453	SAMN19513521	SRX11049474	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/053/SRR14711453/SRR14711453.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/053/SRR14711453/SRR14711453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/053/SRR14711453/SRR14711453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/053/SRR14711453	
SRR14711454	SAMN19513520	SRX11049473	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/054/SRR14711454/SRR14711454.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/054/SRR14711454/SRR14711454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/054/SRR14711454/SRR14711454_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/054/SRR14711454	
SRR14711459	SAMN19513444	SRX11049468	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/059/SRR14711459/SRR14711459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/059/SRR14711459/SRR14711459_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/059/SRR14711459	
SRR14711467	SAMN19513508	SRX11049460	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/067/SRR14711467/SRR14711467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/067/SRR14711467/SRR14711467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/067/SRR14711467	
