run_accession	sample_accession	study_accession
ERR2730148	SAMEA4821212	PRJEB27564
ERR2730149	SAMEA4821213	PRJEB27564
ERR2730152	SAMEA4821216	PRJEB27564
ERR2730156	SAMEA4821220	PRJEB27564
ERR2730159	SAMEA4821223	PRJEB27564
ERR2730167	SAMEA4821231	PRJEB27564
ERR2730170	SAMEA4821234	PRJEB27564
ERR2730171	SAMEA4821235	PRJEB27564
ERR2730178	SAMEA4821242	PRJEB27564
ERR2730181	SAMEA4821245	PRJEB27564
ERR2730183	SAMEA4821247	PRJEB27564
ERR2730186	SAMEA4821250	PRJEB27564
ERR2730190	SAMEA4821254	PRJEB27564
ERR2730191	SAMEA4821255	PRJEB27564
ERR2730196	SAMEA4821260	PRJEB27564
ERR2730202	SAMEA4821266	PRJEB27564
ERR2730203	SAMEA4821267	PRJEB27564
ERR2730212	SAMEA4821276	PRJEB27564
ERR2730214	SAMEA4821278	PRJEB27564
ERR2730215	SAMEA4821279	PRJEB27564
ERR2730217	SAMEA4821281	PRJEB27564
ERR2730221	SAMEA4821285	PRJEB27564
ERR2730223	SAMEA4821287	PRJEB27564
ERR2730224	SAMEA4821288	PRJEB27564
ERR2730225	SAMEA4821289	PRJEB27564
ERR2730226	SAMEA4821290	PRJEB27564
ERR2730228	SAMEA4821292	PRJEB27564
ERR2730234	SAMEA4821298	PRJEB27564
ERR2730235	SAMEA4821299	PRJEB27564
ERR2730240	SAMEA4821304	PRJEB27564
ERR2730241	SAMEA4821305	PRJEB27564
ERR2730246	SAMEA4821310	PRJEB27564
ERR2730247	SAMEA4821311	PRJEB27564
ERR2730249	SAMEA4821313	PRJEB27564
ERR2730250	SAMEA4821314	PRJEB27564
ERR2730251	SAMEA4821315	PRJEB27564
ERR2730252	SAMEA4821316	PRJEB27564
ERR2730253	SAMEA4821317	PRJEB27564
ERR2730256	SAMEA4821320	PRJEB27564
ERR2730268	SAMEA4821332	PRJEB27564
ERR2730272	SAMEA4821336	PRJEB27564
ERR2730275	SAMEA4821339	PRJEB27564
ERR2730278	SAMEA4821342	PRJEB27564
ERR2730280	SAMEA4821344	PRJEB27564
ERR2730281	SAMEA4821345	PRJEB27564
ERR2730282	SAMEA4821346	PRJEB27564
ERR2730286	SAMEA4821350	PRJEB27564
ERR2730287	SAMEA4821351	PRJEB27564
ERR2730291	SAMEA4821355	PRJEB27564
ERR2730296	SAMEA4821360	PRJEB27564
ERR2730297	SAMEA4821361	PRJEB27564
ERR2730298	SAMEA4821362	PRJEB27564
ERR2730301	SAMEA4821365	PRJEB27564
ERR2730306	SAMEA4821370	PRJEB27564
ERR2730308	SAMEA4821372	PRJEB27564
