run_accession	sample_accession	study_accession
SRR5431256	SAMN06675915	PRJNA381395
SRR5431260	SAMN06675910	PRJNA381395
SRR5431321	SAMN06675911	PRJNA381395
SRR5431324	SAMN06675908	PRJNA381395
SRR5431325	SAMN06675907	PRJNA381395
SRR5431326	SAMN06675906	PRJNA381395
SRR5431344	SAMN06675888	PRJNA381395
SRR5431361	SAMN06675871	PRJNA381395
SRR5431363	SAMN06675869	PRJNA381395
SRR5431366	SAMN06675866	PRJNA381395
SRR5431371	SAMN06675861	PRJNA381395
SRR5431377	SAMN06675855	PRJNA381395
SRR5431388	SAMN06675844	PRJNA381395
SRR5431420	SAMN06675816	PRJNA381395
SRR5431432	SAMN06675806	PRJNA381395
SRR5431433	SAMN06675805	PRJNA381395
SRR5431434	SAMN06675804	PRJNA381395
SRR5431443	SAMN06675795	PRJNA381395
SRR5431445	SAMN06675793	PRJNA381395
SRR5431446	SAMN06675792	PRJNA381395
SRR5431479	SAMN06675760	PRJNA381395
SRR5431483	SAMN06675756	PRJNA381395
SRR5431485	SAMN06675754	PRJNA381395
SRR5431492	SAMN06675750	PRJNA381395
SRR5431493	SAMN06675749	PRJNA381395
SRR5431500	SAMN06675742	PRJNA381395
SRR5431511	SAMN06675731	PRJNA381395
SRR5431516	SAMN06675726	PRJNA381395
SRR5431519	SAMN06675723	PRJNA381395
SRR5431524	SAMN06675718	PRJNA381395
SRR5431526	SAMN06675716	PRJNA381395
SRR5431527	SAMN06675715	PRJNA381395
SRR5431539	SAMN06675703	PRJNA381395
SRR5431551	SAMN06675691	PRJNA381395
SRR5431552	SAMN06675690	PRJNA381395
SRR5431553	SAMN06675689	PRJNA381395
SRR5431575	SAMN06678628	PRJNA381395
SRR5431577	SAMN06678628	PRJNA381395
SRR5431578	SAMN06678628	PRJNA381395
SRR5431284	SAMN06675871	PRJNA381395
SRR5431289	SAMN06675865	PRJNA381395
SRR5431310	SAMN06675840	PRJNA381395
SRR5431330	SAMN06675902	PRJNA381395
SRR5431337	SAMN06675895	PRJNA381395
SRR5431340	SAMN06675892	PRJNA381395
SRR5431365	SAMN06675867	PRJNA381395
SRR5431391	SAMN06675841	PRJNA381395
SRR5431398	SAMN06675834	PRJNA381395
SRR5431412	SAMN06675823	PRJNA381395
SRR5431416	SAMN06675820	PRJNA381395
SRR5431418	SAMN06675818	PRJNA381395
SRR5431421	SAMN06675815	PRJNA381395
SRR5431424	SAMN06675812	PRJNA381395
SRR5431429	SAMN06675807	PRJNA381395
SRR5431450	SAMN06675788	PRJNA381395
SRR5431452	SAMN06675786	PRJNA381395
SRR5431459	SAMN06675780	PRJNA381395
SRR5431463	SAMN06675776	PRJNA381395
SRR5431466	SAMN06675773	PRJNA381395
SRR5431478	SAMN06675761	PRJNA381395
SRR5431482	SAMN06675757	PRJNA381395
SRR5431487	SAMN06675754	PRJNA381395
SRR5431489	SAMN06675753	PRJNA381395
SRR5431490	SAMN06675752	PRJNA381395
SRR5431491	SAMN06675751	PRJNA381395
SRR5431503	SAMN06675739	PRJNA381395
SRR5431507	SAMN06675735	PRJNA381395
SRR5431514	SAMN06675728	PRJNA381395
SRR5431522	SAMN06675720	PRJNA381395
SRR5431534	SAMN06675708	PRJNA381395
SRR5431540	SAMN06675702	PRJNA381395
SRR5431567	SAMN06678628	PRJNA381395
SRR5431257	SAMN06675913	PRJNA381395
SRR5431259	SAMN06675911	PRJNA381395
SRR5431268	SAMN06675899	PRJNA381395
SRR5431281	SAMN06675880	PRJNA381395
SRR5431283	SAMN06675872	PRJNA381395
SRR5431286	SAMN06675868	PRJNA381395
SRR5431291	SAMN06675863	PRJNA381395
SRR5431292	SAMN06675862	PRJNA381395
SRR5431293	SAMN06675859	PRJNA381395
SRR5431304	SAMN06675846	PRJNA381395
SRR5431305	SAMN06675845	PRJNA381395
SRR5431312	SAMN06675837	PRJNA381395
