run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
ERR1549012	SAMEA4356849	ERX1619782	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549012/ERR1549012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549012/ERR1549012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/002/ERR1549012	
ERR1549017	SAMEA4356854	ERX1619787	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549017/ERR1549017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549017/ERR1549017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/007/ERR1549017	
ERR1549018	SAMEA4356855	ERX1619788	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1549018/ERR1549018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1549018/ERR1549018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/008/ERR1549018	
ERR1549020	SAMEA4356857	ERX1619790	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549020/ERR1549020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR1549020/ERR1549020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR1549020	
ERR1549022	SAMEA4356859	ERX1619792	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549022/ERR1549022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/002/ERR1549022/ERR1549022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/002/ERR1549022	
ERR1549024	SAMEA4356861	ERX1619794	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549024/ERR1549024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549024/ERR1549024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/004/ERR1549024	
ERR1549026	SAMEA4356863	ERX1619796	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549026/ERR1549026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549026/ERR1549026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/006/ERR1549026	
ERR1549033	SAMEA4356870	ERX1619803	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549033/ERR1549033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549033/ERR1549033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549033	
ERR1549034	SAMEA4356871	ERX1619804	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549034/ERR1549034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549034/ERR1549034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/004/ERR1549034	
ERR1549039	SAMEA4356876	ERX1619809	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549039/ERR1549039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549039/ERR1549039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549039	
ERR1549041	SAMEA4356878	ERX1619811	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549041/ERR1549041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549041/ERR1549041_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/001/ERR1549041	
ERR1549054	SAMEA4356891	ERX1619824	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549054/ERR1549054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549054/ERR1549054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/004/ERR1549054	
ERR1549056	SAMEA4356893	ERX1619826	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549056/ERR1549056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549056/ERR1549056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/006/ERR1549056	
ERR1549057	SAMEA4356894	ERX1619827	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549057/ERR1549057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/007/ERR1549057/ERR1549057_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/007/ERR1549057	
ERR1549058	SAMEA4356895	ERX1619828	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1549058/ERR1549058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1549058/ERR1549058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/008/ERR1549058	
ERR1549061	SAMEA4356898	ERX1619831	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549061/ERR1549061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/001/ERR1549061/ERR1549061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/001/ERR1549061	
ERR1549064	SAMEA4356901	ERX1619834	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549064/ERR1549064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/004/ERR1549064/ERR1549064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/004/ERR1549064	
ERR1549065	SAMEA4356902	ERX1619835	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549065/ERR1549065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549065/ERR1549065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/005/ERR1549065	
ERR1549013	SAMEA4356850	ERX1619783	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549013/ERR1549013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549013/ERR1549013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549013	
ERR1549016	SAMEA4356853	ERX1619786	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549016/ERR1549016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/006/ERR1549016/ERR1549016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/006/ERR1549016	
ERR1549019	SAMEA4356856	ERX1619789	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549019/ERR1549019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549019/ERR1549019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549019	
ERR1549023	SAMEA4356860	ERX1619793	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549023/ERR1549023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/003/ERR1549023/ERR1549023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/003/ERR1549023	
ERR1549025	SAMEA4356862	ERX1619795	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549025/ERR1549025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/005/ERR1549025/ERR1549025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/005/ERR1549025	
ERR1549029	SAMEA4356866	ERX1619799	PRJEB14928	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549029/ERR1549029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549029/ERR1549029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549029	
