run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
ERR3046456	SAMEA5206926	ERX3120046	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046456/ERR3046456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046456/ERR3046456_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/006/ERR3046456	
ERR3046518	SAMEA5206988	ERX3120108	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/008/ERR3046518/ERR3046518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/008/ERR3046518/ERR3046518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/008/ERR3046518	
ERR3046556	SAMEA5207026	ERX3120146	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046556/ERR3046556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046556/ERR3046556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/006/ERR3046556	
ERR3046585	SAMEA5207055	ERX3120175	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046585/ERR3046585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046585/ERR3046585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/005/ERR3046585	
ERR3046393	SAMEA5206862	ERX3119983	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046393/ERR3046393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046393/ERR3046393_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/003/ERR3046393	
ERR3046433	SAMEA5206902	ERX3120023	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046433/ERR3046433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046433/ERR3046433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/003/ERR3046433	
ERR3046435	SAMEA5206904	ERX3120025	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046435/ERR3046435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046435/ERR3046435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/005/ERR3046435	
ERR3046448	SAMEA5206917	ERX3120038	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/008/ERR3046448/ERR3046448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/008/ERR3046448/ERR3046448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/008/ERR3046448	
ERR3046450	SAMEA5206920	ERX3120040	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046450/ERR3046450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046450/ERR3046450_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/000/ERR3046450	
ERR3046452	SAMEA5206922	ERX3120042	PRJEB30615	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046452/ERR3046452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046452/ERR3046452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/002/ERR3046452	
