run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR5431254	SAMN06675896	SRX2721267	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/004/SRR5431254/SRR5431254.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/004/SRR5431254/SRR5431254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/004/SRR5431254/SRR5431254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/004/SRR5431254	
SRR5431255	SAMN06675862	SRX2721268	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431255/SRR5431255.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431255/SRR5431255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431255/SRR5431255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/005/SRR5431255	
SRR5431258	SAMN06675912	SRX2721271	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/008/SRR5431258/SRR5431258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/008/SRR5431258/SRR5431258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/008/SRR5431258	
SRR5431265	SAMN06675903	SRX2721278	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431265/SRR5431265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431265/SRR5431265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/005/SRR5431265	
SRR5431266	SAMN06675902	SRX2721279	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/006/SRR5431266/SRR5431266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/006/SRR5431266/SRR5431266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/006/SRR5431266	
SRR5431270	SAMN06675896	SRX2721283	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/000/SRR5431270/SRR5431270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/000/SRR5431270/SRR5431270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/000/SRR5431270	
SRR5431273	SAMN06675891	SRX2721286	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/003/SRR5431273/SRR5431273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/003/SRR5431273/SRR5431273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/003/SRR5431273	
SRR5431275	SAMN06675889	SRX2721288	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431275/SRR5431275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/005/SRR5431275/SRR5431275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/005/SRR5431275	
SRR5431287	SAMN06675867	SRX2721300	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/007/SRR5431287/SRR5431287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/007/SRR5431287/SRR5431287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/007/SRR5431287	
SRR5431294	SAMN06675857	SRX2721307	PRJNA381395	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/004/SRR5431294/SRR5431294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR543/004/SRR5431294/SRR5431294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR543/004/SRR5431294	
